국가,구분,일자,요일,신규확진(명),누적확진(명),인구확진률(%),인구(명),신규사망(명),누적사망(명),사망률(%)
대한민국,일간,2023/04/17,월,15173,31009261,59.88,51784059,10,34386,0.11
대한민국,일간,2023/04/16,일,4946,30994088,59.85,51784059,4,34376,0.11
대한민국,일간,2023/04/15,토,10188,30989142,59.84,51784059,4,34372,0.11
대한민국,일간,2023/04/14,금,11262,30978954,59.82,51784059,2,34368,0.11
대한민국,일간,2023/04/13,목,11666,30967692,59.80,51784059,5,34366,0.11
대한민국,일간,2023/04/12,수,11596,30956026,59.78,51784059,5,34361,0.11
대한민국,일간,2023/04/11,화,13926,30944430,59.76,51784059,14,34356,0.11
대한민국,일간,2023/04/10,월,12444,30930504,59.73,51784059,10,34342,0.11
대한민국,일간,2023/04/09,일,4005,30918060,59.71,51784059,8,34332,0.11
대한민국,일간,2023/04/08,토,9553,30914055,59.70,51784059,2,34324,0.11
대한민국,일간,2023/04/07,금,9943,30904502,59.68,51784059,4,34322,0.11
대한민국,일간,2023/04/06,목,10735,30894559,59.66,51784059,9,34318,0.11
대한민국,일간,2023/04/05,수,12084,30883824,59.64,51784059,13,34309,0.11
대한민국,일간,2023/04/04,화,14465,30871740,59.62,51784059,7,34296,0.11
대한민국,일간,2023/04/03,월,13375,30857275,59.59,51784059,8,34289,0.11
대한민국,일간,2023/04/02,일,4349,30843900,59.56,51784059,7,34281,0.11
대한민국,일간,2023/04/01,토,9724,30839551,59.55,51784059,4,34274,0.11
대한민국,일간,2023/03/31,금,9697,30829827,59.54,51784059,5,34270,0.11
대한민국,일간,2023/03/30,목,10368,30820130,59.52,51784059,10,34265,0.11
대한민국,일간,2023/03/29,수,11039,30809762,59.50,51784059,10,34255,0.11
대한민국,일간,2023/03/28,화,13134,30798723,59.48,51784059,14,34245,0.11
대한민국,일간,2023/03/27,월,12129,30785589,59.45,51784059,8,34231,0.11
대한민국,일간,2023/03/26,일,4204,30773460,59.43,51784059,3,34223,0.11
대한민국,일간,2023/03/25,토,9361,30769256,59.42,51784059,3,34220,0.11
대한민국,일간,2023/03/24,금,10155,30759895,59.40,51784059,6,34217,0.11
대한민국,일간,2023/03/23,목,10283,30749740,59.38,51784059,10,34211,0.11
대한민국,일간,2023/03/22,수,11400,30739457,59.36,51784059,14,34201,0.11
대한민국,일간,2023/03/21,화,13081,30728057,59.34,51784059,9,34187,0.11
